10000 14441
0 6729 0.29
0 3646 0.91
0 8576 0.82
1 5615 0.75
2 4799 0.57
2 7930 0.04
3 5453 0.15
3 1836 0.77
4 2257 0.88
4 9118 0.24
4 8095 0.10
4 3141 0.09
4 3925 0.27
5 3748 0.50
5 5751 0.69
5 5039 0.48
6 432 0.13
7 2833 0.03
7 5552 0.10
7 9936 0.33
7 8941 0.45
8 6335 0.69
8 8036 0.20
8 7761 0.61
8 9923 0.44
8 7366 0.89
8 7316 0.13
9 8442 0.98
9 7541 0.15
9 4123 0.98
10 3216 0.57
11 9224 0.96
11 7105 0.29
11 5673 0.45
11 7996 0.21
11 4564 0.14
12 8461 0.72
12 6725 0.18
13 2790 0.65
13 4886 0.27
14 6601 0.84
14 780 0.62
14 8541 0.15
15 4506 0.75
15 3372 0.56
15 993 0.50
15 6869 0.83
17 8318 0.62
17 233 0.82
17 3493 0.10
18 8377 0.27
18 5511 0.43
18 8291 0.12
18 647 0.51
18 7241 0.80
19 7595 0.47
20 6354 0.41
21 2701 0.86
21 8516 0.00
21 1693 0.90
21 583 0.94
21 6271 0.28
22 4997 0.90
23 7849 0.43
23 9997 0.42
24 5481 0.21
24 8333 0.53
24 1497 0.67
26 9554 0.79
26 7590 0.45
26 4391 0.21
26 2032 0.14
27 2358 0.13
27 258 0.26
27 597 0.63
27 9618 0.68
28 4292 0.61
28 4754 0.16
28 6469 0.56
29 4965 0.62
29 113 0.22
29 4739 0.49
29 3459 0.16
29 2024 0.05
29 1302 0.49
29 3676 0.76
31 1554 0.40
31 3831 0.72
32 501 0.31
32 7037 0.80
33 1529 0.98
33 2659 0.07
34 7060 0.71
34 8415 0.86
35 976 0.40
35 4279 0.51
35 9833 0.61
35 3069 0.59
36 9788 0.95
36 9768 0.85
36 8058 0.65
36 9201 0.60
36 2881 0.11
37 8765 0.89
38 6520 0.77
39 3119 0.81
39 5683 0.08
39 8870 0.24
39 788 0.02
40 7484 0.59
40 6887 0.51
40 3716 0.01
41 1966 0.69
41 9477 0.43
41 3535 0.23
41 9104 0.02
42 7553 0.77
42 1080 0.03
42 3180 0.96
42 4900 0.83
43 8209 0.45
44 6742 0.52
44 6632 0.40
45 7534 0.55
46 940 0.51
46 4078 0.00
47 1940 0.94
47 56 0.25
