560 187
456 315 68
552 235 11
309 539 17
388 517 36
317 308 67
354 234 98
382 449 69
116 466 10
469 14 10
512 532 64
548 503 89
40 261 36
176 252 53
315 446 52
29 357 43
517 4 82
111 458 76
67 298 85
241 357 98
473 427 34
189 224 16
69 499 3
450 195 93
441 419 29
391 214 95
316 489 87
507 173 87
32 7 66
111 186 19
534 385 19
287 93 44
298 179 48
211 523 94
352 221 37
154 323 84
462 199 17
36 46 57
92 260 15
425 410 89
270 240 43
400 160 75
210 333 59
7 34 8
457 354 16
370 246 81
131 16 41
517 498 52
343 278 4
225 29 42
391 341 2
246 357 29
54 116 18
555 326 44
102 46 69
544 367 55
503 185 35
59 539 15
290 154 58
520 375 31
333 328 35
159 171 34
193 460 88
214 491 75
187 203 67
444 507 18
313 425 84
174 194 85
174 106 74
133 512 44
151 319 76
25 497 40
51 354 26
109 84 63
398 37 30
206 102 84
231 473 22
161 63 62
360 423 3
335 291 79
2 165 26
115 282 38
515 501 98
517 321 21
535 59 28
0 143 68
82 136 28
25 291 67
399 243 64
199 113 90
155 380 79
378 423 88
310 509 8
280 474 78
378 441 95
416 453 50
254 287 90
500 387 5
374 222 28
375 437 31
314 0 91
9 40 82
312 292 70
316 465 77
337 494 5
457 120 98
487 40 76
298 246 74
276 404 78
8 474 21
541 373 84
167 356 27
448 501 85
56 217 20
179 507 19
480 383 80
425 232 17
121 16 70
204 324 83
98 285 100
162 76 2
365 196 66
512 473 69
237 66 17
472 297 16
55 169 9
27 422 36
399 535 49
180 63 92
102 61 69
529 68 94
399 529 68
160 464 10
92 481 53
78 541 51
72 329 53
116 254 29
179 410 22
169 318 69
337 114 32
82 226 77
432 132 45
299 509 20
96 206 58
502 371 16
521 123 19
46 447 3
514 15 33
96 220 83
205 346 97
3 458 93
477 39 90
298 101 29
227 391 8
515 119 9
168 416 72
287 325 85
132 141 56
279 384 55
160 222 78
106 357 69
48 330 39
329 176 11
32 385 48
64 505 88
132 382 18
246 94 64
173 150 2
468 328 35
293 328 6
75 289 89
455 501 7
102 382 29
375 16 13
434 442 58
456 230 13
151 443 65
416 212 26
395 505 72
295 413 71
61 217 76
313 28 92
116 74 30
400 134 79
57 486 17
160 46 35
246 530 12
232 407 3
