6
10251 15054
6525 6570 504839
4629 6370 -323485
2828 9061 1232822
6646 9511 -909727
611 1138 -124745
9443 6981 380651
7631 4777 -1306845
5526 5883 1431694
5199 1832 -249526
1379 779 -831818
208 4290 -981333
5703 6106 1075905
5208 6254 -114518
8839 326 578139
10125 9015 116267
9862 2898 417991
2070 3192 -721532
7548 8410 468720
4555 8009 678730
8956 1517 -1079742
10017 4898 8139
4362 5805 -130678
3874 281 468473
6942 7140 -364277
6800 7355 -738987
3032 5285 596733
6341 4916 77200
8661 1471 -1473205
8893 531 -975412
1877 10244 1258222
10100 9175 -1070634
6796 10108 -339754
9780 1857 508462
2994 3458 -929283
10022 5098 -14173
9562 6594 314791
8564 5072 425979
8580 8752 -369499
5014 7868 -329972
3354 5844 -1298577
9900 6785 1025355
5787 2109 -379093
6538 4150 42638
7466 5016 351896
8075 9113 -1630004
1865 7664 1111356
408 9665 -44509
2307 1240 -359751
8430 1432 247490
3593 700 -1126935
1139 9458 -432757
2283 1797 1124627
5884 7694 -1128657
5110 7940 -252909
5189 6914 -1148116
81 6288 -136100
5494 4660 707295
6375 6861 1086677
5049 9574 -49685
5452 4281 -1088476
2718 3054 244156
4167 6772 439167
8766 3625 -779545
6039 2257 768225
194 1931 1101195
8224 6614 -542459
6377 660 -857418
4170 7167 924898
569 2158 994093
1726 8355 135003
3365 6262 554582
6195 7020 -587955
670 2037 872158
9084 3647 737443
5234 9259 1625678
10193 3479 858340
3209 9726 1826131
5283 2392 -53006
8466 5699 788597
7797 6868 403774
1918 1319 59176
10125 9254 -199494
1109 2659 550516
7732 5132 438788
2457 1604 88023
6611 7763 603895
8888 5426 937945
9260 9785 779608
5363 4185 142696
8153 3254 -1529396
2184 8526 297968
9245 4155 -733
4094 9237 130552
6641 6297 -861010
9189 1131 -667473
1409 3728 -356336
1232 9873 621644
3313 5667 -190025
2255 866 713769
3310 6746 -375429
4059 2647 504320
4049 2857 411997
383 3050 -147907
5175 1193 1267683
6295 4019 985394
3967 4653 290380
1856 7258 707865
4864 372 -1303645
2847 2898 821421
6375 4053 773107
4937 4543 280969
6246 10031 -1708791
1086 2756 -530641
5903 2822 -44888
8948 5860 685578
7229 3926 -1368420
7930 845 -577274
779 5384 763025
1926 9056 912632
7263 10249 -972462
2995 6237 504689
4186 4088 -488640
803 2924 -377032
1502 5123 1566622
9930 1398 773483
9545 8718 1504609
295 5130 87992
6957 7186 1648727
7058 3214 -757724
6643 9568 413893
6690 2701 -7587
8677 9770 1177375
4535 3851 1293392
10126 2493 -501658
6626 598 48192
315 2482 100689
1214 7777 1374745
5982 2786 1305634
10244 7870 -1171553
9399 4523 588056
1909 3213 -483311
7544 1661 1691641
5666 8095 26121
3516 5204 954617
308 5771 -1486051
9367 5441 -251826
4537 1054 318308
1464 64 783515
1413 99 -667909
4326 6194 65298
3631 4286 1526977
3757 1237 -1477025
5983 5113 924606
4835 9617 -576216
641 6536 807622
3585 10241 -1396296
10048 5685 -727193
2829 4930 311027
7174 4327 45037
1996 5863 -138060
3329 6672 -500001
4785 2384 341998
2203 9765 -1731783
1379 1354 363638
8124 6089 -758204
4737 3367 622853
7402 3229 794400
6285 8500 -891141
4856 21 -299973
3580 14 570669
4841 1331 479156
2711 7171 -171255
441 6640 -125675
7833 1396 -192016
6865 1715 -140523
8333 1435 605135
9575 5812 -604428
7274 8470 237404
4593 4 -348545
74 4517 213036
10016 3232 -469219
6716 9935 1177008
3351 6251 353711
7184 8702 -47290
2755 12 -513397
9764 8117 354042
4433 6380 1198251
3704 9248 -56707
3884 9754 -500796
7786 4570 -50516
4500 3402 -1114760
5835 6228 91962
5813 8854 60772
5804 7366 1389849
7750 10167 1409075
4530 6520 301809
3423 9329 -977984
2144 3693 -417518
187 7637 93641
7102 6919 -1446438
9855 1847 785305
8105 4549 1186610
3510 1012 -388518
9553 697 515163
9810 1617 55251
2589 7861 386800
546 512 -1498347
9779 604 1732732
3014 5403 -1048940
7690 2657 171453
6920 1364 607203
8995 3574 -1485203
4581 6590 666783
4601 10006 -182910
4272 9116 343304
2302 9023 -511840
3801 7046 -1181435
2657 7626 85544
3703 6836 -289854
9529 2527 738079
7518 9088 1407281
3187 2406 -236337
218 157 1359714
6769 3465 -1224122
6693 2053 -1315758
6752 382 -73739
3186 575 29005
6269 9676 825474
6962 959 -625352
2975 615 449107
8469 1106 411118
454 6389 750436
1335 1079 -130740
6370 183 1093170
8644 17 1171050
2207 7608 44756
6933 8860 850529
1518 501 -1797096
4024 9991 1023351
6241 5186 -260950
9895 1721 -198315
9880 4379 -1182962
5946 6200 -1436673
2141 729 318342
5635 5191 1524263
2123 8153 -19928
8406 6647 -41163
9370 5764 -849560
3721 3404 1057433
2850 3489 857504
10109 1227 -1310389
5228 5490 -477760
1930 6763 475956
750 1529 -1673249
8310 3513 8372
4655 2817 302614
7248 8152 190308
4269 1326 -367233
3872 6711 -571496
6166 3823 803716
250 1194 3792
2891 9534 778998
8806 2305 -1636143
6268 10162 499539
5717 10170 -462406
7856 832 367666
388 7024 1338675
3674 1601 -1504402
8620 3136 59947
8073 5214 -534719
7178 10086 68726
1554 6080 -483521
350 2570 -1198926
10191 4749 -607597
9239 3399 -232419
8808 4358 417450
2318 8843 342211
2351 1899 834607
7210 338 283743
5218 7178 -1014477
7360 7984 -655848
658 164 953146
7002 241 478761
10109 3334 631749
571 60 1022277
5228 4824 -634268
2414 7072 -531963
2171 7305 1097049
6556 9643 -1005381
1415 7747 -681322
209 1656 -1676525
5854 8716 -237721
7444 1876 895052
7093 3474 -142275
9669 5949 -196964
2803 10246 -312496
4030 5582 1658508
9780 4936 -1084138
787 5634 -966209
7997 3316 513480
6042 6972 458686
2231 3570 -1133505
8595 7342 1539328
10046 9868 325712
3415 6243 545990
8719 8883 -154043
6572 1114 1926275
7160 8948 974553
7558 8504 1091247
2321 9118 252896
7827 3551 1071377
6094 7193 296272
9202 1361 1697387
1175 2365 -378762
7304 2083 1477045
2587 1127 189358
10131 3689 -74981
5507 775 682215
9403 3209 -265952
2337 2638 1050290
3816 3677 -388437
9508 5478 962631
9724 6306 1137812
2775 8218 -917427
5841 2688 1066035
6468 7286 -449442
8970 2282 -1156182
6228 8293 1202567
4873 3345 257417
5834 10034 221556
9311 5267 -443829
2599 1734 -276132
8668 648 119048
373 9248 1375990
5511 5995 -278833
2742 3923 -300818
5362 6101 -226309
7932 4690 -195011
9309 8619 942945
932 5590 1191564
3989 1194 -865572
719 1416 1051820
3650 6177 -126698
8842 9806 124567
1117 9090 -290109
9516 138 -1566858
2651 6346 -819802
2409 1382 741536
8195 2308 -593336
9225 276 -783770
6506 795 264364
5435 803 424874
9879 6800 -181139
3485 10098 259374
5224 2225 372884
708 7202 1228565
2890 840 -388371
1785 2103 -1110343
6420 6660 313335
4423 924 -21896
1246 6785 803554
2212 3930 -1077200
3835 7758 -1108814
8368 6392 1603408
2637 5218 947487
9701 9781 85155
1536 5568 1566666
4388 1401 -229644
9088 9694 -1352643
2057 2282 -1296930
7277 7459 -185623
1390 3007 969127
1304 8795 -593174
483 1055 -1389764
7005 1118 217279
2043 223 -571668
4102 9812 750496
9741 2681 1124656
5715 6375 -48839
8175 2406 358082
10215 3770 43492
3564 4103 -656809
3623 8472 -624365
4166 5677 -1258904
1621 4262 -416526
8234 6809 -744937
4171 542 -293498
9455 3083 -192686
7608 4612 -737821
7384 4731 1279856
2482 2887 784900
9637 9180 -15820
5101 2174 -1061466
1909 100 -302609
9868 10038 -448824
8278 6053 566222
7635 3672 1649632
6200 4815 1797771
8302 5934 1174091
6119 4191 -494729
8959 5184 1230044
4668 7435 -38958
962 7165 482566
1162 395 419854
6517 907 732291
29 3485 7931
1787 2372 419995
333 4774 -824239
1590 8051 24974
4411 6002 -1492787
415 9146 398108
7827 1008 -116754
9218 182 722815
6156 5351 -323710
6344 2208 -1415036
1192 7451 89690
5125 2575 461692
5402 8740 170036
3495 4728 136737
372 1946 376515
9781 8556 1130417
9887 7463 214106
2228 5185 -1338064
10154 5982 -1454168
1311 5290 -1549372
5759 160 708707
4589 340 1124760
8356 713 1755628
7321 5731 93717
4793 4674 898930
194 1792 553553
2123 2161 -576752
9688 7941 1304153
5872 186 -409545
2356 1863 227340
2953 2162 -803558
1963 4265 462256
4998 2328 -618763
2658 4399 -76510
7939 3228 -247252
5478 7001 -1004045
6127 8920 -375833
8865 1775 -1018174
2125 1302 629471
884 2876 -1013235
3120 2154 -1726029
3499 8245 572242
3120 77 -1342693
1669 2438 806591
1191 8189 -385469
3628 8049 5461
6307 5647 -234372
3883 1292 -975159
1171 1258 97195
8809 4589 341095
47 9296 228969
8218 9737 1529916
4323 723 324662
4424 5607 -334142
3727 4127 204890
7036 5280 805298
3527 4597 -225444
2956 2692 -416600
9507 3115 -181944
7003 7553 1151217
5849 8890 320318
5547 1976 -221009
3357 6493 312926
9041 1655 845014
4976 7323 -8159
5996 7329 -766195
5137 6616 557174
116 4704 -969571
2474 9921 -424154
7171 7200 1007026
3047 9261 -9344
4432 9408 -91188
2910 7539 268077
4587 1370 1173572
552 7036 -1583714
1971 9577 587553
9191 812 460567
6399 8469 591992
6805 4796 361471
1992 9202 -1024268
7669 1070 -997261
2328 1005 -383456
4838 1771 371313
1561 5227 -1127646
1275 1980 1081637
620 410 -1046324
5630 8590 -345643
7450 9103 285927
4264 8490 -773483
8712 5435 529387
7739 4883 539514
5863 8755 -1117472
2713 3735 -1045647
2829 6582 -396319
8307 5521 -1076331
6838 8479 -241417
1510 4007 386865
6957 6714 638492
6418 8370 605779
7067 1953 -1611914
1366 3646 -514508
6064 8236 1034712
425 5252 1132922
9073 4062 47247
7279 9249 -62843
9557 6462 1463380
3346 781 -8190
6691 6690 78071
5784 4584 343209
4468 6949 -288667
8889 4000 31023
8889 4037 -1506079
8699 6724 500042
4358 3286 -1227027
887 5600 -957679
5919 209 704231
4539 5406 250044
10048 7104 -1222174
8033 5189 503462
3575 602 1109424
3063 6778 539459
7090 7539 -1218768
8094 329 157341
6552 6091 -398279
1991 3929 182394
6635 253 939336
8203 6017 -1211788
9933 8076 -436958
5352 190 942682
8650 3205 511095
2309 1052 -508447
1970 7307 457775
7287 8909 27031
5080 5845 -757028
2414 8654 -633195
91 2882 -366620
9736 8264 1004176
2026 954 1901279
7732 1684 413866
5676 1062 -335605
3164 5849 167165
6851 5183 134148
4705 8761 85310
2538 5775 170810
3900 1188 -493268
8731 3464 55442
6213 2139 825837
2363 8378 -384606
8517 3091 -804664
4740 1978 1346369
5618 1375 1708576
3142 7426 878768
2988 8620 -1239576
2115 7897 -518329
8329 1089 -267246
332 1976 -1783383
5797 8070 -384860
1389 1380 -348433
7709 4186 -95881
8567 9064 -1541621
3630 250 -907758
9121 3591 790639
7853 8212 247637
7816 5790 -1457419
7262 10087 1421927
1815 8797 -234828
6727 1993 -774598
4206 8635 833483
6573 3250 -951308
3869 9522 1058476
7374 6981 -800797
9299 10064 193833
493 2203 842903
7968 6385 1027184
8048 7968 314864
2653 191 -731124
7270 4634 1715179
7782 1388 -395877
8950 9139 994293
6213 1409 367795
6957 5146 -225066
8119 3453 -936410
4520 5690 -504874
5908 3794 709330
9448 5840 778593
8481 4388 996368
2910 5278 832414
6970 6534 -71613
10177 9329 -135622
9046 1755 -164440
1573 5276 -494867
4382 8583 109447
5755 1495 123818
8985 3559 -418042
6997 966 194367
8497 41 1266083
9484 652 39633
6700 5576 360066
1238 2433 141990
9100 7039 336252
439 5975 -1024887
8251 9574 -610612
27 10191 443183
1891 3896 -878916
452 1543 255143
4347 2786 558580
8969 5979 211268
8028 3387 1361823
7314 3714 6032
4628 3635 1419197
7400 7969 -1525590
3706 3600 382303
2160 3408 -220364
9075 5906 78346
9877 4203 -284638
883 3154 -1328126
6387 8638 943487
1829 274 1134995
4367 8228 -1412646
6920 9778 -2694
4949 2456 -1753032
9902 3188 -1657022
5108 3715 -233232
7241 125 -1278594
2749 8214 -189895
5647 3807 767712
299 10096 161423
7178 7412 457560
7653 6908 -1830353
4418 8967 -556815
5475 8431 -822604
8593 628 1493888
9175 4533 -47071
4324 9242 -592473
240 9406 -29177
8603 2007 -1076576
6136 910 -917499
4500 2539 -285603
7100 2890 -340935
8995 8076 -1281211
3773 5227 -711533
2548 9435 1035947
6959 8550 1665773
2332 4760 530555
3311 5254 971626
4530 2163 -656759
7455 4266 -769317
5890 4034 193226
5586 7110 613905
967 7106 628945
4753 235 1176590
804 8597 -83127
6844 633 -891261
6144 3504 90719
4094 4719 1283884
10106 8841 997684
7748 3527 -583606
7052 146 -648178
9842 6579 75123
9844 3117 -133382
2184 84 158856
1211 6383 -920390
23 1903 412654
6894 9651 1014893
6254 4456 -40593
896 5275 13726
2464 7104 104215
3213 5255 1111459
7400 2947 -473754
9902 4672 -348789
7370 5461 -1118059
4270 8744 -443692
5083 3072 375420
6216 5719 476252
5734 3662 -655274
7795 7672 -263477
218 8741 587295
751 911 -619893
5369 7451 775215
4903 5841 -1492504
3626 3066 823175
848 7419 -226403
4693 8771 -761463
3918 4698 1200814
271 8750 109523
1264 2745 1024037
9015 3420 -680401
3985 8727 250512
1743 2341 103929
5866 731 -321543
7628 6753 738203
10177 8502 554614
5876 897 -520359
7017 8737 1120044
6700 4495 -213060
5388 5042 -883992
8669 4230 630007
3124 1777 1250862
5243 3625 -757819
6667 2103 -841360
3962 342 -224331
255 6024 -158586
6628 8028 -933229
9008 1642 -285067
3321 5418 -122738
2259 1058 509587
184 47 103334
9526 8241 217649
1356 6271 -362968
2889 6499 258921
3528 2115 108615
8818 7555 565449
1368 2008 -948873
1124 3921 -780929
1743 7468 -527603
5388 2424 -1086728
9033 3074 -841029
2836 2217 1614197
4798 1913 1134193
3929 7549 -28533
4239 6225 -1648633
2306 4765 -1334662
6469 7406 -614759
2125 3598 181176
7371 2922 709785
1274 8552 -1229429
5667 35 -1460956
5088 1871 675323
10185 8661 560185
318 1334 219067
3229 6411 -457367
125 6164 -179704
6211 638 -1263765
939 3215 -1835211
4156 2841 -128749
3302 3764 -502712
5031 9404 1596612
2386 4640 763130
3378 85 263148
5007 1387 789821
122 6660 112434
4723 7812 -758612
5317 3259 632838
1758 5210 -204147
7287 1630 -783171
1085 5950 -793851
822 3258 820910
1164 1851 -1564273
