1000000000 1000
A 430000001 1500000000
A 891700000 1935000000
A 365500000 1499999999
A 317984999 1479999998
A 1000000001 3179851
A 794743000 1778400000
A 1403199998 248727866
A 1886454000 838373650
A 1572384000 430000002
A 1060480001 5635332
A 1712474880 656140661
A 534024705 1646632166
A 865036825 1908785160
A 1245548799 156352703
A 242261604 1351175102
A 1712474879 656140660
A 878101781 1921630432
A 486173342 1617675381
A 1000000000 1999350000
A 614621235 1693380492
A 11664028 1103045825
A 1734230170 679703059
A 1307868318 222502556
A 1187122579 98477233
A 1738647154 707312645
A 707312646 1745405138
A 1683095860 599307894
A 1026006401 4481256
A 1942722001 891700001
A 1404735999 260501579
A 447413738 1584159760
A 1118179641 11664029
A 1320860354 227837499
A 845039444 1889357052
A 635380947 1698917865
A 1778400001 799106066
A 1886454001 839040230
A 1716825939 656140662
A 323211650 1483799999
A 1680543401 598002229
A 1307868319 222502557
A 1008842177 3583287
A 577529421 1665961570
A 1824863221 821095913
A 299015470 1466452478
A 541420507 1652044400
A 836127543 1885222183
A 225223377 1315143858
A 4585124 1029109026
A 826507300 1837538604
A 1040402577 4994705
A 5635333 1060480002
A 868433714 1915207796
A 353236378 1494653999
A 247434613 1386031782
A 521104837 1639103401
A 1645126412 533895505
A 341826981 1489769699
A 11664030 1118179642
A 524686224 1641271685
A 1183675431 87191516
A 1810924255 812519872
A 1806045616 812519871
A 310586882 1473497188
A 801386414 1786417230
A 434179299 1572501759
A 279373386 1422633778
A 356302284 1495616280
A 1481709999 320336992
A 1187122578 96671518
A 455553255 1590527729
A 247434612 1386031781
A 1184468275 89182317
A 1287926072 200673104
A 1803297641 810738517
A 1136518463 35832826
A 1088999103 10518575
A 1157267529 50726847
A 641401264 1700273567
A 806062465 1795363848
A 474231508 1606001890
A 1952915041 891700002
A 1056062967 5423925
A 985921000 1991920406
A 794742999 1778399999
A 1648797060 535799698
A 535604448 1648580570
A 1183675430 87191515
A 1688032483 608189632
A 1177601612 79169287
A 663209381 1722221251
A 1481282498 319725473
A 673765335 1732548921
A 1460317859 298819048
A 732667449 1754973648
A 1048076168 5205023
A 999859209 1998309856
A 801067165 1783851716
A 195354655 1278179299
A 1422633779 279373387
A 1253706424 156352704
A 964250170 1982169064
A 1657472097 561641499
A 1474992835 312658355
A 1959936007 916367059
A 1861857229 831125017
A 1778399998 783569399
A 1054785078 5395467
A 1968606899 937914459
A 1266677048 174293602
A 10323244 1086147192
A 1289322030 204602406
A 49982145 1153325206
A 764226658 1768092404
A 852838423 1895379766
